Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,PTT ID,Opt.Signal,DTMF Code Group,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info
Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,PTT ID,Opt.Signal,DTMF Code Group,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,K8DAC,147.24,147.84,High,180S,No,2,6.25K,No,No,25K,103.5,103.5,Allow TX,No,Simplex,Slot1,,0,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,80,None
Analog CH,N8ERL,145.33,144.73,High,180S,No,2,2.5K,No,No,25K,88.5,88.5,Allow TX,No,Simplex,Slot1,,0,No,Normal Mode,1,No,No,Always,None,None,Address Book Contacts: 104001,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,FRS1,462.5625,462.5625,High,180S,No,1,No,No,No,25K,67,67,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,FRS2,462.5875,462.5875,High,180S,No,1,No,No,No,25K,118.8,118.8,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,FRS3,462.6125,462.6125,High,180S,No,1,No,No,No,25K,127.3,127.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,FRS4,462.6375,462.6375,High,180S,No,1,No,No,No,25K,131.8,131.8,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,FRS5,462.6625,462.6625,High,180S,No,1,No,No,No,25K,136.5,136.5,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS6,462.6875,462.6875,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS7,462.7125,462.7125,High,180S,No,1,No,No,No,25K,146.2,146.2,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS8,462.5625,462.5625,Low,180S,No,1,No,No,No,12.5K,D243N,D243N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS9,467.5875,467.5875,Low,180S,No,1,No,No,No,12.5K,D032N,D032N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS10,467.6125,467.6125,Low,180S,No,1,No,No,No,12.5K,D047N,D047N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS11,467.6375,467.6375,Low,180S,No,1,No,No,No,12.5K,D051N,D051N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,None
Analog CH,GMRS12,467.6625,467.6625,Low,180S,No,1,No,No,No,12.5K,D053N,D053N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS13,467.6875,467.6875,Low,180S,No,1,No,No,No,12.5K,D065N,D065N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS14,467.7125,467.7125,Low,180S,No,1,No,No,No,12.5K,D116N,D116N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,None
Analog CH,GMRS15,462.55,462.55,High,180S,No,1,No,No,No,25K,123,123,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,OFF,
